cityid,City Name,stateabbrev,overall_RANK,city_pop2019,city_pop2019_RANK,merchants_all,merchants_all_RANK,new_case_rate,new_case_rate_RANK,bg_posts,bg_posts_RANK,Average Cost of Living ,Average Cost of Living _RANK,Architecture and engineering occupations,Architecture and engineering occupations_RANK,"Arts, design, entertainment, sports, and media occupations","Arts, design, entertainment, sports, and media occupations_RANK",Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations_RANK,Business and financial operations occupations,Business and financial operations occupations_RANK,Community and social service occupations,Community and social service occupations_RANK,Computer and mathematical occupations,Computer and mathematical occupations_RANK,Construction and extraction occupations,Construction and extraction occupations_RANK,Educational instruction and library occupations,Educational instruction and library occupations_RANK,Food preparation and serving related occupations,Food preparation and serving related occupations_RANK,Healthcare practitioners and technical occupations,Healthcare practitioners and technical occupations_RANK,Healthcare support occupations,Healthcare support occupations_RANK,"Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations_RANK",Legal occupations,Legal occupations_RANK,"Life, physical, and social science occupations","Life, physical, and social science occupations_RANK",Management occupations,Management occupations_RANK,Office and administrative support occupations,Office and administrative support occupations_RANK,Personal care and service occupations,Personal care and service occupations_RANK,Production occupations,Production occupations_RANK,Protective service occupations,Protective service occupations_RANK,Sales and related occupations,Sales and related occupations_RANK,Transportation and material moving occupations,Transportation and material moving occupations_RANK,Park Score,Park Score_RANK,Health score,Health score_RANK,overall_SCORE,lat,lon
44,New Orleans,LA,35.0,390144,53.0,-46.20%,11.0,12.1,15.5,-0.11,51.0,2073.98,25.0,44.73,19.0,27.96,33.0,12.45,52.0,32.63,45.0,23.15,36.0,21.05,50.0,22.30,35.0,11.12,51.0,13.16,43.0,35.26,40.0,13.87,51.0,23.66,38.0,46.39,31.0,33.50,34.0,52.64,37.0,18.36,48.0,14.55,44.0,23.47,4.0,19.02,48.0,22.89,44.0,20.66,16.0,4.1,49.0,4.344444444444445,7.0,211.5,29.95,-90.07
45,Wichita,KS,47.0,516042,50.0,-29.40%,35.0,16.7,28.0,0.174,7.0,1221.92,50.0,41.46,29.0,25.92,45.0,14.91,33.0,33.46,36.0,15.77,53.0,19.78,53.0,21.01,44.0,11.47,49.0,13.28,41.0,35.63,38.0,14.32,47.0,24.40,29.0,33.65,42.0,30.27,45.5,50.16,44.0,18.70,46.0,16.93,17.5,23.25,5.0,21.88,40.0,10.05,53.0,18.93,27.0,4.4,25.5,3.3,46.0,241.5,37.69,-97.34
46,Cleveland,OH,32.0,1235072,22.0,-35.80%,26.0,12.9,18.0,-0.165,53.0,2008.69,28.0,38.68,37.0,26.60,41.0,15.75,23.0,36.68,24.0,23.49,33.0,38.63,39.0,26.86,16.0,13.53,46.0,13.67,36.0,17.11,46.0,14.66,43.5,23.99,32.0,21.44,47.0,32.32,40.0,57.53,23.0,20.52,19.0,16.23,28.0,19.91,25.5,24.40,29.0,27.68,18.0,19.59,21.5,4.194117647058824,44.5,4.3,9.0,200.5,41.5,-81.69
47,Bakersfield,CA,36.0,900202,34.0,-34.20%,28.0,22.5,41.0,0.234,3.0,,52.5,48.68,7.0,23.74,52.0,16.29,19.0,35.07,29.0,28.21,6.0,37.81,42.0,26.13,18.0,37.20,4.0,15.79,18.0,15.94,51.0,14.97,40.0,25.55,17.0,49.33,26.0,43.53,6.0,24.68,51.0,19.96,31.0,15.57,36.5,22.00,8.0,40.27,1.0,22.37,46.0,19.50,23.0,4.141666666666667,47.0,4.2,12.5,218.0,35.37,-119.02
48,Honolulu,HI,16.0,974563,29.0,-28.20%,42.0,2.89,1.0,0.197,6.0,2966.52,10.0,38.61,39.0,30.64,17.0,18.47,7.0,34.64,31.0,27.01,9.0,29.43,47.0,35.34,3.0,14.54,41.0,22.90,1.0,17.70,45.0,17.65,6.0,27.91,6.0,42.65,41.0,36.42,22.0,54.78,32.0,21.94,15.0,18.90,6.0,21.06,16.5,27.50,16.0,23.72,41.0,15.06,46.0,4.089999999999999,50.0,4.061538461538461,20.0,158.0,21.31,-157.86
49,Boise,ID,42.5,481587,51.0,-27.60%,46.0,89.9,53.0,0.0507,39.0,1771.29,35.0,41.81,27.0,27.10,38.0,14.54,37.0,20.45,52.0,23.03,39.0,37.43,43.0,20.65,48.0,10.55,53.0,12.27,51.0,40.01,27.0,15.17,36.5,22.14,49.0,42.87,39.0,21.49,48.0,45.34,48.0,18.83,43.0,17.51,11.0,18.26,46.0,23.08,34.0,24.18,39.0,18.81,30.0,4.699999999999998,1.0,4.408333333333333,6.0,231.0,43.62,-116.2
50,Salt Lake City,UT,53.0,1160437,23.0,-24.70%,52.0,22.0,37.5,-0.0527,50.0,1801.36,33.0,23.20,51.0,28.12,32.0,14.95,32.0,32.76,43.5,25.93,18.0,40.81,31.0,24.58,25.0,11.53,48.0,12.78,46.0,16.44,48.0,16.59,15.0,23.75,37.0,51.00,20.0,30.63,44.0,50.33,43.0,19.36,36.0,15.63,35.0,19.27,34.0,24.58,28.0,26.91,24.0,20.75,14.0,4.205555555555557,42.0,3.175,51.0,288.5,40.76,-111.89
51,Virginia Beach,VA,33.0,449974,52.0,-35.90%,24.5,25.2,45.0,0.119,17.0,,52.5,38.70,36.0,28.89,26.0,13.04,50.0,35.79,27.0,24.65,26.0,41.66,28.0,22.50,32.0,31.70,10.0,13.66,37.0,38.86,30.0,16.28,18.0,24.02,31.0,17.68,51.0,34.73,26.0,56.80,26.0,18.81,44.0,15.95,31.0,20.45,22.0,22.95,35.0,9.12,2.0,18.05,38.5,4.463157894736842,13.0,5.0,1.0,205.0,36.85,-75.98
52,Colorado Springs,CO,44.5,720403,42.0,-29.10%,37.5,22.1,39.5,0.0541,38.0,1652.07,36.0,45.76,15.0,27.37,36.0,15.08,31.0,22.08,50.0,24.75,25.0,46.67,12.0,22.66,31.0,25.04,27.0,14.69,26.0,38.84,32.0,16.82,12.0,23.95,33.0,44.71,36.0,33.70,32.0,57.46,24.0,19.09,38.0,16.35,26.0,19.90,27.0,25.45,20.0,25.90,28.0,18.56,32.0,4.372222222222224,28.0,4.163636363636363,15.0,236.0,38.83,-104.82
53,Tulsa,OK,48.0,651552,47.0,-39.50%,18.0,29.2,47.0,0.217,5.0,1467.02,45.0,22.53,52.0,24.91,50.0,13.53,47.0,33.32,38.0,21.64,48.0,35.00,46.0,22.33,33.5,23.05,31.0,12.35,50.0,15.42,52.0,14.73,41.0,23.19,41.0,48.94,27.0,45.19,4.0,54.24,34.0,18.86,41.0,14.13,48.0,19.80,28.0,20.05,45.0,24.71,36.0,18.41,33.0,4.194117647058824,44.5,3.5090909090909084,40.0,246.5,36.15,-95.99
